Index,SealID,1994s,1994w,1995s,1995w,1996s,1996w,1997s,1997w,1998s,1998w,1999s,1999w,2000s,2000w,2001s,2001w,2002s,2002w,2003s,2003w,2004s,2004w,2005s,2005w,Encounter,BlackMass,WeanMass,BirthLocation,Birthdate,WeanDate,LactationPeriod,WeaningLength,WeaningGirth,birthyear,sex
1,4055,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,119,TR,11-Oct-93,2-Nov-93,22,,,1993,f
2,4054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,155,TR,11-Oct-93,2-Nov-93,22,,,1993,f
3,4053,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,172,TR,11-Oct-93,3-Nov-93,23,,,1993,m
4,4052,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,37,93,TR,11-Oct-93,3-Nov-93,23,,,1993,f
5,4051,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,99,TR,11-Oct-93,1-Nov-93,21,,,1993,m
6,4049,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,44,141,MS,11-Oct-93,1-Nov-93,21,,,1993,f
7,4048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,80,MS,11-Oct-93,4-Nov-93,24,,,1993,f
8,4047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,56,MS,11-Oct-93,4-Nov-93,24,,,1993,f
9,4046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,119,MS,11-Oct-93,31-Oct-93,20,,,1993,m
10,4045,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,46,143,MS,11-Oct-93,5-Nov-93,25,,,1993,f
11,4044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,102,MS,11-Oct-93,3-Nov-93,23,,,1993,f
12,4043,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,39,106,MS,11-Oct-93,3-Nov-93,23,,,1993,f
13,4042,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,135,MS,11-Oct-93,3-Nov-93,23,,,1993,m
14,4041,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,98,MS,11-Oct-93,6-Nov-93,26,,,1993,f
15,4040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,90,MS,11-Oct-93,3-Nov-93,23,,,1993,m
16,4038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,160,GG,11-Oct-93,29-Oct-93,18,,,1993,m
17,4037,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,123,GG,11-Oct-93,2-Nov-93,22,,,1993,f
18,4036,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,42,90,FG,11-Oct-93,1-Nov-93,21,,,1993,m
