"SEAL_ID","SEX","TAG_MATRIX","SURVIVAL_MATRIX","YEAR_BORN","BLACK_MASS","WEAN_MASS","BRANDED","COW_MASS","TAGS_USED","BRANDS_USED","PUP_MATRIX"
75.00,"0","UUU2UUUUUUUUUUUUUUUUUUUUUU","00010001000000000000000000","1987",,"155","0",," B0067 B0068",,"00010000000000000000000000"
77.00,"0","UUU2UUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000","1987",,,"0",," B0079 B0080",,"00010000000000000000000000"
758.00,"1","UUU2UUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000",,,,"0",," B0832 B0833",,"00000000000000000000000000"
759.00,"1","UUU1UUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000",,,,"0",," B1223 B1224",,"00000000000000000000000000"
772.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000",,,,"0",," B0865 B0866",,"00000000000000000000000000"
773.00,"0","UUU21UUUUU112UUUUUUUUUUUUU","00011000001110000000000000",,,,"0",," B0846 B0847",,"000000000000M0000000000000"
778.00,"0","UUUUUUUUU1UUUUUUUUUUUUUUUU","00010000010000000000000000",,,,"0",," B0873 B0874",,"00000000000000000000000000"
779.00,"0","UUU2UUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000",,,,"0",," B0875 B0876",,"00000000000000000000000000"
783.00,"0","UUUUUUUUUUUUU1UUUUUUUUUUUU","00010000000001000000000000",,,,"0",," B0883 B0884",,"00000000000000000000000000"
784.00,"0","UUUU1UUUUUUUUUUUUUUUUUUUUU","00011100000000000000000000",,,,"0",," B0885 B0886",,"00000000000000000000000000"
849.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000",,,,"0",," B1574",,"00000000000000000000000000"
850.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00010000000000000000000000",,,,"0",," B1575",,"00000000000000000000000000"
10713.00,"0","UUUUUUUUUUUUU0U0UUUUUUUUUU","00000000000011110000000000","1996",,,"1",,," N168","0000000000001U000000000000"
10716.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010010000000000","1996",,,"1",,," N171","00000000000010000000000000"
10717.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010000000000000","1996",,,"1",,," N172","00000000000010000000000000"
10718.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010000000000000","1996",,,"1",,," N173","00000000000010000000000000"
10721.00,"0","UUUUUUUUUUUU022UUUUUUUUUUU","00000000000011101100000000","1996",,,"1",," O4679 O4680"," N176","0000000000001000U000000000"
10722.00,"1","UUUUUUUUUUUUU0UUUUUUUUUUUU","00000000000011000100000000","1996",,,"1",,," N177","00000000000010000U00000000"
10723.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010000000000000","1996",,,"1",,," N178","00000000000010000000000000"
10727.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000010000000000000","1996",,,"1",,," N182","00000000000010000000000000"
10774.00,"1","UUUUUUUUUUUU0UU1UUUUUUUUUU","00000000000010010000000000","1996",,,"1",,," N229","00000000000010000000000000"
10996.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000011000100000000","1996",,,"1",,," N450","00000000000010000U00000000"
12032.00,"1","UUUUUUUUUUUUU2UUUUUUUUUUUU","00000000000001010000000000","1997","46","135","1",," O03241 O3241 O3242"," D450","00000000000001000000000000"
11745.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000001000000000000","1997","36","129","1",," O2672 O2673"," D017","00000000000001000000000000"
11579.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000011000000000000","1996",,,"1",,," K972","00000000000010000000000000"
11609.00,"0","UUUUUUUUUUUU222222UUUUUUUU","00000000000011111111000000",,,,"0",," O0075 O0130",,"0000000000000UUUF000000000"
11610.00,"1","UUUUUUUUUUUU11UUUUUUUUUUUU","00000000000011000000000000",,,,"0",," O0301",,"0000000000000U000000000000"
11613.00,"0","UUUUUUUUUUUU22UUUUUUUUUUUU","00000000000011100000000000",,,,"0",," O0081 O0082",,"0000000000000U000000000000"
11614.00,"0","UUUUUUUUUUUU22UUU1UUUUUUUU","00000000000011001100000000",,,,"0",," O0088 O0089",,"0000000000000U000U00000000"
11615.00,"0","UUUUUUUUUUUU21UUU1UUUUUUUU","00000000000011111100000000",,,,"0",," O0085 O0086",,"0000000000000U00UU00000000"
11619.00,"0","UUUUUUUUUUUU22U2U1UUUUUUUU","00000000000011111110000000",,,,"0",," O0096 O0097",,"00000000000000U0U000000000"
11622.00,"0","UUUUUUUUUUUU2U22UUUUUUUUUU","00000000000011110100000000",,,,"0",," O0105 O0106",,"0000000000000UUU0U00000000"
11623.00,"0","UUUUUUUUUUUU2UUU2UUUUUUUUU","00000000000010001101110000",,,,"0",," O0107 O0108",,"00000000000000000U00UU0000"
