"LOCATION_ID","LOCATION_NAME","LATITUDE","LONGITUDE","GAZ_ID","EASTING","NORTHING","IS_ACTIVE_FLAG"
"01 ","North Head",-54.48,158.94,,496300.00,3962150.00,"Y"
"02 ","Secluded Beach and Goat Bay",-54.49,158.94,,496475.00,3961500.00,"Y"
"03 ","Garden Cove",-54.49,158.94,,496148.00,3960900.00,"Y"
"04 ","Halfway Hill",-54.51,158.93,,495700.00,3959500.00,"Y"
"05 ","Middle Beach",-54.52,158.93,,495750.00,3958500.00,"Y"
"06 ","Nuggets",-54.53,158.93,,495800.00,3957500.00,"Y"
"07 ","Fur Seal Point",-54.53,158.93,,495475.00,3956500.00,"Y"
"08 ","Tussock Point",-54.54,158.92,,495250.00,3955500.00,"Y"
"09 ","North Sandy Bay",-54.55,158.92,,495000.00,3954500.00,"Y"
"10 ","Sandy Bay",-54.56,158.91,,494550.00,3953500.00,"Y"
"11 ","Brothers Beach",-54.57,158.91,,494775.00,3952500.00,"Y"
"12 ","Brothers Point",-54.58,158.92,,495075.00,3951900.00,"Y"
"13 ","Brothers Point South",-54.58,158.91,,494800.00,3951500.00,"Y"
"14 ","Brothers Point Falls",-54.59,158.91,,494525.00,3950500.00,"Y"
"15 ","Red River",-54.60,158.91,,494350.00,3949500.00,"Y"
"16 ","Red River South",-54.61,158.91,,494225.00,3948500.00,"Y"
"17 ","Menhir Beach",-54.61,158.90,,494025.00,3947725.00,"Y"
"18 ","Green Gorge North",-54.62,158.90,,493900.00,3947150.00,"Y"
"19 ","Green Gorge",-54.62,158.89,,493475.00,3946500.00,"Y"
"20 ","Ferret Pass",-54.63,158.89,,493475.00,3945500.00,"Y"
"21 ","Devils Gate",-54.64,158.89,,493150.00,3944500.00,"Y"
"22 ","Long Beach",-54.65,158.89,,493050.00,3943900.00,"Y"
"23 ","Saddle Point North",-54.65,158.88,,492875.00,3943250.00,"Y"
"24 ","Saddle Point",-54.66,158.88,,492725.00,3942500.00,"Y"
"25 ","Waterfall Bay",-54.67,158.88,,492275.00,3941625.00,"Y"
"26 ","Royal Beach",-54.67,158.87,,491925.00,3941075.00,"Y"
"27 ","Water Tunnel Beach",-54.68,158.87,,491650.00,3940500.00,"Y"
"28 ","Waterfall Bay Hut",-54.69,158.86,,491340.00,3939500.00,"Y"
"29 ","Royal King Beach",-54.69,158.86,,491075.00,3938900.00,"Y"
"30 ","Kings Causeway",-54.70,158.85,,490750.00,3938325.00,"Y"
"31 ","North King Beach",-54.70,158.85,,490640.00,3937500.00,"Y"
"32 ","Lusitania Bay and Hut",-54.71,158.85,,490350.00,3936500.00,"Y"
