"SEAL_ID","SEX","DATE_OF_DEATH","SEX_CONFIRMATION_FLAG","SEX_CONFIRMATION_RATING"
2687.00,"F",,"U",
2688.00,"F",,"U",
2689.00,"F",,"U",
2690.00,"F",,"U",
2691.00,"F",,"U",
2692.00,"F",,"U",
2693.00,"F",,"U",
2694.00,"F",,"U",
2695.00,"F",,"U",
2696.00,"F",,"U",
2697.00,"F",,"U",
2698.00,"F",,"U",
2699.00,"F",,"U",
2700.00,"F",,"U",
2701.00,"M",,"U",
2702.00,"F",,"U",
2703.00,"F",,"U",
2704.00,"F",,"U",
2705.00,"F",,"U",
2706.00,"F",,"U",
2707.00,"M",,"U",
2708.00,"F",,"U",
2709.00,"M",,"U",
2710.00,"F",,"U",
2711.00,"F",,"U",
2712.00,"M",,"U",
2713.00,"M",,"U",
2714.00,"M",,"U",
2715.00,"M",,"U",
2716.00,"M",,"U",
2717.00,"M",,"U",
2718.00,"F",,"U",
2719.00,"M",,"U",
2720.00,"F",,"U",
2721.00,"M",,"U",
2722.00,"F",,"U",
2723.00,"M",,"U",
2724.00,"F",,"U",
2725.00,"F",,"U",
2726.00,"F",,"U",
2727.00,"F",,"U",
2728.00,"M",,"U",
2729.00,"M",,"U",
2730.00,"M",,"U",
2731.00,"M",,"U",
2732.00,"F",,"U",
2733.00,"M",,"U",
2734.00,"F",,"U",
2735.00,"F",,"U",
2736.00,"F",,"U",
2737.00,"F",,"U",
2738.00,"F",,"U",
2739.00,"M",,"U",
2740.00,"M",,"U",
2741.00,"M",,"U",
2742.00,"M",,"U",
2743.00,"F",,"U",
2744.00,"M",,"U",
2745.00,"M",,"U",
2746.00,"F",,"U",
2747.00,"M",,"U",
2748.00,"M",,"U",
2749.00,"F",,"U",
2750.00,"F",,"U",
2751.00,"M",,"U",
2752.00,"M",,"U",
2753.00,"F",,"U",
2754.00,"F",,"U",
2755.00,"F",,"U",
2756.00,"M",,"U",
2757.00,"F",,"U",
2758.00,"F",,"U",
2759.00,"F",,"U",
2760.00,"M",,"U",
2761.00,"F",,"U",
2762.00,"F",,"U",
2763.00,"F",,"U",
2764.00,"F",,"U",
2765.00,"F",,"U",
2766.00,"M",,"U",
2767.00,"F",,"U",
2768.00,"F",,"U",
2769.00,"M",,"U",
2770.00,"F",,"U",
2771.00,"F",,"U",
2772.00,"F",,"U",
2773.00,"M",,"U",
2774.00,"F",,"U",
2775.00,"M",,"U",
2776.00,"M",,"U",
2777.00,"F",,"U",
2778.00,"F",,"U",
2779.00,"F",,"U",
2780.00,"M",,"U",
2781.00,"F",,"U",
2782.00,"M",,"U",
2783.00,"F",,"U",
2784.00,"M",,"U",
2785.00,"M",,"U",
2786.00,"M",,"U",
2787.00,"M",,"U",
2788.00,"F",,"U",
2789.00,"M",,"U",
2790.00,"F",,"U",
2791.00,"M",,"U",
2792.00,"F",,"U",
2793.00,"F",,"U",
2794.00,"M",,"U",
2795.00,"M",,"U",
2796.00,"M",,"U",
2797.00,"F",,"U",
2798.00,"F",,"U",
2799.00,"M",,"U",
2800.00,"F",,"U",
2801.00,"F",,"U",
2802.00,"F",,"U",
2803.00,"M",,"U",
2804.00,"M",,"U",
2805.00,"M",,"U",
2806.00,"M",,"U",
2807.00,"M",,"U",
2808.00,"M",,"U",
2809.00,"M",,"U",
2810.00,"M",,"U",
2811.00,"M",,"U",
2812.00,"M",,"U",
2813.00,"M",,"U",
2814.00,"M",,"U",
2815.00,"M",,"U",
2816.00,"F",,"U",
2817.00,"F",,"U",
2818.00,"M",,"U",
2820.00,"M",,"U",
2821.00,"F",,"U",
2822.00,"M",,"U",
2823.00,"M",,"U",
2824.00,"F",,"U",
2825.00,"M",,"U",
2826.00,"F",,"U",
2827.00,"M",,"U",
2828.00,"M",,"U",
2829.00,"M",,"U",
2830.00,"F",,"U",
2831.00,"F",,"U",
2832.00,"M",,"U",
2833.00,"M",,"U",
2834.00,"F",,"U",
2836.00,"M",,"U",
2837.00,"F",,"U",
2838.00,"F",,"U",
2839.00,"F",,"U",
2840.00,"F",,"U",
2841.00,"M",,"U",
2842.00,"F",,"U",
2843.00,"F",,"U",
2844.00,"M",,"U",
2845.00,"U",,"U",
2846.00,"F",,"U",
2847.00,"U",,"U",
2848.00,"U",,"U",
2849.00,"F",,"U",
2850.00,"U",,"U",
2851.00,"M",,"U",
2852.00,"U",,"U",
2853.00,"U",,"U",
2854.00,"F",,"U",
2855.00,"U",,"U",
2856.00,"U",,"U",
2857.00,"U",,"U",
2858.00,"U",,"U",
2859.00,"F",,"U",
2860.00,"F",,"U",
2861.00,"M",,"U",
2862.00,"F",,"U",
2863.00,"F",,"U",
2864.00,"M",,"U",
2865.00,"M",,"U",
2866.00,"F",,"U",
2867.00,"M",,"U",
2868.00,"F",,"U",
2869.00,"F",,"U",
2870.00,"F",,"U",
2871.00,"M",,"U",
2872.00,"F",,"U",
2873.00,"F",,"U",
2875.00,"F",,"U",
2876.00,"M",,"U",
2877.00,"M",,"U",
2878.00,"M",,"U",
2879.00,"F",,"U",
2880.00,"F",,"U",
2881.00,"M",,"U",
2882.00,"M",,"U",
2883.00,"M",,"U",
2884.00,"M",,"U",
2885.00,"F",,"U",
2886.00,"M",,"U",
2887.00,"F",,"U",
2888.00,"F",,"U",
2889.00,"F",,"U",
2890.00,"F",,"U",
2891.00,"F",,"U",
2892.00,"F",,"U",
2893.00,"F",,"U",
2894.00,"F",,"U",
2895.00,"M",,"U",
2896.00,"F",,"U",
2897.00,"M",,"U",
2898.00,"M",,"U",
2899.00,"M",,"U",
2900.00,"F",,"U",
2901.00,"M",,"U",
2902.00,"F",,"U",
2903.00,"F",,"U",
2904.00,"M",,"U",
2905.00,"M",,"U",
2906.00,"F",,"U",
2907.00,"F",,"U",
2908.00,"F",,"U",
2909.00,"F",,"U",
2910.00,"M",,"U",
2911.00,"F",,"U",
2912.00,"M",,"U",
2913.00,"F",,"U",
2914.00,"F",,"U",
2915.00,"F",,"U",
2916.00,"M",,"U",
2917.00,"M",,"U",
2918.00,"F",,"U",
2919.00,"M",,"U",
2920.00,"M",,"U",
2921.00,"M",,"U",
2922.00,"M",,"U",
2923.00,"M",,"U",
2924.00,"F",,"U",
2925.00,"F",,"U",
2927.00,"M",,"U",
2928.00,"M",,"U",
2929.00,"F",,"U",
2930.00,"M",,"U",
2931.00,"M",,"U",
2932.00,"M",,"U",
2933.00,"F",,"U",
2934.00,"F",,"U",
2935.00,"F",,"U",
2936.00,"M",,"U",
3315.00,"M",,"U",
3316.00,"F",,"U",
3317.00,"F",,"U",
3318.00,"F",,"U",
3319.00,"M",,"U",
3320.00,"M",,"U",
3321.00,"M",,"U",
3322.00,"M",,"U",
3323.00,"F",,"U",
3324.00,"M",,"U",
3325.00,"F",,"U",
3326.00,"M",,"U",
3327.00,"F",,"U",
3328.00,"M",,"U",
3329.00,"F",,"U",
3330.00,"M",,"U",
3331.00,"F",,"U",
3332.00,"F",,"U",
3333.00,"F",,"U",
3334.00,"M",,"U",
3335.00,"M",,"U",
3336.00,"M",,"U",
3337.00,"M",,"U",
3338.00,"M",,"U",
3339.00,"M",,"U",
3340.00,"M",,"U",
3341.00,"M",,"U",
3342.00,"M",,"U",
3343.00,"M",,"U",
3344.00,"M",,"U",
3345.00,"F",,"U",
3346.00,"M",,"U",
3347.00,"F",,"U",
3348.00,"M",,"U",
3349.00,"F",,"U",
3350.00,"F",,"U",
3351.00,"M",,"U",
3352.00,"F",,"U",
3353.00,"F",,"U",
3354.00,"M",,"U",
3355.00,"M",,"U",
3356.00,"F",,"U",
3357.00,"F",,"U",
3358.00,"F",,"U",
3359.00,"F",,"U",
3360.00,"F",,"U",
3361.00,"F",,"U",
3362.00,"F",,"U",
3363.00,"F",,"U",
3364.00,"M",,"U",
3365.00,"F",,"U",
3366.00,"M",,"U",
3367.00,"F",,"U",
3368.00,"M",,"U",
3369.00,"M",,"U",
3370.00,"M",,"U",
3371.00,"M",,"U",
3372.00,"M",,"U",
3373.00,"M",,"U",
3374.00,"M",,"U",
3375.00,"F",,"U",
3376.00,"M",,"U",
3377.00,"M",,"U",
3378.00,"M",,"U",
3379.00,"F",,"U",
3380.00,"M",,"U",
3381.00,"M",,"U",
3382.00,"F",,"U",
3383.00,"M",,"U",
3384.00,"M",,"U",
3385.00,"M",,"U",
3386.00,"F",,"U",
3387.00,"F",,"U",
3388.00,"F",,"U",
3389.00,"M",,"U",
3390.00,"F",,"U",
3391.00,"F",,"U",
3392.00,"M",,"U",
3393.00,"F",,"U",
3394.00,"F",,"U",
3395.00,"M",,"U",
3396.00,"F",,"U",
3397.00,"M",,"U",
3398.00,"F",,"U",
3399.00,"F",,"U",
3400.00,"M",,"U",
3401.00,"M",,"U",
3402.00,"M",,"U",
3403.00,"F",,"U",
3404.00,"M",,"U",
3405.00,"F",,"U",
3406.00,"M",,"U",
3407.00,"M",,"U",
3408.00,"M",,"U",
3409.00,"M",,"U",
3410.00,"M",,"U",
3411.00,"F",,"U",
3412.00,"M",,"U",
3413.00,"F",,"U",
3414.00,"F",,"U",
3415.00,"M",,"U",
3416.00,"F",,"U",
2180.00,"M",,"U",
2181.00,"M",,"U",
2182.00,"M",,"U",
2183.00,"M",,"U",
2184.00,"M",,"U",
2185.00,"M",,"U",
2186.00,"M",,"U",
2187.00,"M",,"U",
2188.00,"M",,"U",
2189.00,"M",,"U",
2190.00,"M",,"U",
2191.00,"M",,"U",
2192.00,"M",,"U",
2193.00,"M",,"U",
2194.00,"M",,"U",
2195.00,"M",,"U",
2196.00,"M",,"U",
2197.00,"M",,"U",
2198.00,"M",,"U",
2199.00,"M",,"U",
2200.00,"M",,"U",
2201.00,"M",,"U",
2202.00,"M",,"U",
2203.00,"M",,"U",
2204.00,"M",,"U",
2205.00,"M",,"U",
2206.00,"M",,"U",
2207.00,"M",,"U",
2208.00,"M",,"U",
2209.00,"M",,"U",
2210.00,"M",,"U",
2211.00,"M",,"U",
2212.00,"M",,"U",
2213.00,"M",,"U",
2214.00,"M",,"U",
2215.00,"M",,"U",
2216.00,"F",,"U",
2217.00,"F",,"U",
2218.00,"F",,"U",
2219.00,"F",,"U",
2220.00,"F",,"U",
2221.00,"F",,"U",
2222.00,"F",,"U",
2223.00,"M",,"U",
2224.00,"M",,"U",
2225.00,"F",,"U",
2226.00,"M",,"U",
2227.00,"F",,"U",
2228.00,"M",,"U",
2229.00,"M",,"U",
2230.00,"M",,"U",
2231.00,"M",,"U",
2233.00,"M",,"U",
2234.00,"M",,"U",
2235.00,"M",,"U",
2236.00,"M",,"U",
2237.00,"F",,"U",
2238.00,"F",,"U",
2239.00,"F",,"U",
2240.00,"F",,"U",
2241.00,"F",,"U",
2242.00,"F",,"U",
2243.00,"F",,"U",
2244.00,"F",,"U",
2245.00,"F",,"U",
2246.00,"F",,"U",
2247.00,"F",,"U",
2248.00,"F",,"U",
2249.00,"F",,"U",
2250.00,"F",,"U",
2251.00,"F",,"U",
2252.00,"F",,"U",
2253.00,"F",,"U",
2254.00,"F",,"U",
2255.00,"F",,"U",
2256.00,"F",,"U",
2257.00,"F",,"U",
2258.00,"F",,"U",
2259.00,"F",,"U",
2260.00,"F",,"U",
2649.00,"M",,"U",
2650.00,"U",,"U",
2651.00,"U",,"U",
2652.00,"F",,"U",
2653.00,"F",,"U",
2654.00,"F",,"U",
2655.00,"F",,"U",
2656.00,"F",,"U",
2657.00,"F",,"U",
2658.00,"F",,"U",
2659.00,"F",,"U",
2660.00,"F",,"U",
2661.00,"F",,"U",
2662.00,"F",,"U",
2663.00,"F",,"U",
2664.00,"F",,"U",
2665.00,"F",,"U",
2666.00,"F",,"U",
2667.00,"F",,"U",
2668.00,"F",,"U",
2669.00,"F",,"U",
2670.00,"F",,"U",
2671.00,"F",,"U",
2672.00,"M",,"U",
2673.00,"F",,"U",
2674.00,"F",,"U",
2675.00,"F",,"U",
2676.00,"F",,"U",
2677.00,"F",,"U",
2678.00,"F",,"U",
2679.00,"F",,"U",
2680.00,"F",,"U",
2681.00,"F",,"U",
2682.00,"F",,"U",
2683.00,"F",,"U",
2684.00,"F",,"U",
3417.00,"M",,"U",
3418.00,"M",,"U",
3419.00,"F",,"U",
3420.00,"F",,"U",
3421.00,"M",,"U",
3422.00,"M",,"U",
3423.00,"M",,"U",
3424.00,"M",,"U",
3425.00,"F",,"U",
3426.00,"M",,"U",
3427.00,"M",,"U",
3428.00,"M",,"U",
3429.00,"F",,"U",
3430.00,"F",,"U",
3431.00,"M",,"U",
3432.00,"M",,"U",
3433.00,"F",,"U",
3434.00,"F",,"U",
3435.00,"M",,"U",
3436.00,"F",,"U",
3437.00,"F",,"U",
3438.00,"M",,"U",
3439.00,"F",,"U",
3440.00,"F",,"U",
3441.00,"F",,"U",
3442.00,"M",,"U",
3443.00,"M",,"U",
3444.00,"M",,"U",
3445.00,"M",,"U",
3446.00,"M",,"U",
3447.00,"F",,"U",
3448.00,"M",,"U",
3449.00,"M",,"U",
3450.00,"F",,"U",
3451.00,"F",,"U",
3452.00,"M",,"U",
3453.00,"F",,"U",
3454.00,"F",,"U",
3455.00,"F",,"U",
3456.00,"M",,"U",
3457.00,"F",,"U",
3458.00,"M",,,
3459.00,"F",,"U",
3460.00,"F",,"U",
3461.00,"F",,"U",
3462.00,"F",,"U",
3463.00,"F",,"U",
3464.00,"M",,"U",
3465.00,"F",,"U",
3466.00,"M",,"U",
3467.00,"M",,"U",
3468.00,"F",,"U",
3469.00,"F",,"U",
3470.00,"M",,"U",
3471.00,"M",,"U",
3472.00,"M",,"U",
3473.00,"F",,"U",
3474.00,"M",,"U",
3475.00,"F",,"U",
3476.00,"F",,"U",
3477.00,"F",,"U",
3478.00,"M",,"U",
3479.00,"F",,"U",
3480.00,"F",,"U",
3481.00,"F",,"U",
3482.00,"F",,"U",
3483.00,"F",,"U",
3484.00,"F",,"U",
3485.00,"F",,"U",
3486.00,"F",,"U",
3487.00,"F",,"U",
3488.00,"F",,"U",
3489.00,"M",,"U",
3490.00,"F",,"U",
3491.00,"F",,"U",
3492.00,"M",,"U",
3493.00,"F",,"U",
3494.00,"F",,"U",
3495.00,"M",,"U",
3496.00,"M",,"U",
3497.00,"F",,"U",
3498.00,"F",,"U",
3499.00,"F",,"U",
3500.00,"M",,"U",
3501.00,"F",,"U",
3502.00,"F",,"U",
3503.00,"M",,"U",
3504.00,"M",,"U",
3505.00,"M",,"U",
3506.00,"F",,"U",
3507.00,"M",,"U",
3508.00,"M",,"U",
3509.00,"M",,"U",
3510.00,"M",,"U",
3511.00,"F",,"U",
3512.00,"M",,"U",
3513.00,"M",,"U",
3514.00,"M",,"U",
3515.00,"M",,"U",
3516.00,"M",,"U",
3517.00,"F",,"U",
3518.00,"F",,"U",
3519.00,"F",,"U",
3520.00,"F",,"U",
3521.00,"M",,"U",
3522.00,"M",,"U",
3523.00,"F",,"U",
3524.00,"F",,"U",
3525.00,"M",,"U",
3526.00,"F",,"U",
3527.00,"F",,"U",
3528.00,"M",,"U",
3529.00,"F",,"U",
3530.00,"M",,"U",
3531.00,"M",,"U",
3532.00,"F",,"U",
3533.00,"M",,"U",
3534.00,"M",,"U",
3535.00,"F",,"U",
3536.00,"F",,"U",
3537.00,"M",,"U",
3538.00,"F",,"U",
3539.00,"M",,"U",
3540.00,"M",,"U",
3541.00,"M",,"U",
3542.00,"M",,"U",
3543.00,"F",,"U",
3544.00,"M",,"U",
3545.00,"F",,"U",
3546.00,"M",,"U",
3547.00,"F",,"U",
3548.00,"M",,"U",
3549.00,"M",,"U",
3550.00,"M",,"U",
3551.00,"M",,"U",
3552.00,"F",,"U",
3553.00,"M",,"U",
3554.00,"F",,"U",
3555.00,"M",,"U",
3556.00,"M",,"U",
3557.00,"M",,"U",
3558.00,"M",,"U",
3559.00,"F",,"U",
3560.00,"F",,"U",
3561.00,"M",,"U",
3562.00,"M",,"U",
3563.00,"F",,"U",
3564.00,"F",,"U",
3565.00,"F",,"U",
3566.00,"F",,"U",
3567.00,"M",,"U",
3568.00,"M",,"U",
3569.00,"M",,"U",
3570.00,"F",,"U",
3571.00,"M",,"U",
3573.00,"F",,"U",
3574.00,"M",,"U",
3575.00,"F",,"U",
3576.00,"M",,"U",
3577.00,"F",,"U",
3578.00,"F",,"U",
3579.00,"M",,"U",
3580.00,"F",,"U",
3581.00,"F",,"U",
3582.00,"M",,"U",
3583.00,"F",,"U",
3584.00,"M",,"U",
3585.00,"M",,"U",
3586.00,"M",,"U",
3587.00,"F",,"U",
3588.00,"M",,"U",
3589.00,"F",,"U",
3590.00,"F",,"U",
3591.00,"M",,"U",
3592.00,"M",,"U",
3593.00,"F",,"U",
3594.00,"F",,"U",
3595.00,"F",,"U",
3596.00,"F",,"U",
3597.00,"M",,"U",
3598.00,"M",,"U",
3599.00,"M",,"U",
3600.00,"M",,"U",
3601.00,"M",,"U",
3602.00,"M",,"U",
3603.00,"M",,"U",
3604.00,"M",,"U",
3980.00,"F",,"U",
3981.00,"F",,"U",
3982.00,"F",,"U",
3983.00,"M",,"U",
3984.00,"F",,"U",
3985.00,"F",,"U",
3986.00,"M",,"U",
3987.00,"F",,"U",
3988.00,"M",,"U",
3989.00,"M",,"U",
3990.00,"F",,"U",
3991.00,"F",,"U",
3992.00,"F",,"U",
3993.00,"M",,"U",
3994.00,"M",,"U",
3995.00,"M",,"U",
3996.00,"M",,"U",
3997.00,"M",,"U",
3998.00,"M",,"U",
3999.00,"F",,"U",
4000.00,"F",,"U",
4001.00,"M",,"U",
4002.00,"F",,"U",
4003.00,"F",,"U",
4004.00,"F",,"U",
4005.00,"M",,"U",
4006.00,"M",,"U",
4007.00,"F",,"U",
4008.00,"M",,"U",
4009.00,"F",,"U",
4010.00,"F",,"U",
4012.00,"F",,"U",
4013.00,"M",,"U",
4014.00,"M",,"U",
4015.00,"M",,"U",
4011.00,"F",,"U",
4020.00,"F",,"U",
4021.00,"M",,"U",
4022.00,"M",,"U",
4023.00,"F",,"U",
4024.00,"M",,"U",
4025.00,"M",,"U",
4026.00,"M",,"U",
4027.00,"F",,"U",
4028.00,"M",,"U",
4029.00,"F",,"U",
4030.00,"F",,"U",
4031.00,"M",,"U",
4032.00,"M",,"U",
4033.00,"M",,"U",
4034.00,"M",,"U",
4035.00,"F",,"U",
4036.00,"M",,"U",
4037.00,"F",,"U",
4038.00,"M",,"U",
4039.00,"F",,"U",
4040.00,"M",,"U",
4041.00,"F",,"U",
4042.00,"M",,"U",
4043.00,"F",,"U",
4044.00,"F",,"U",
4045.00,"F",,"U",
4046.00,"M",,"U",
4047.00,"F",,"U",
4048.00,"F",,"U",
4049.00,"F",,"U",
4051.00,"M",,"U",
4053.00,"M",,"U",
4054.00,"F",,"U",
4055.00,"F",,"U",
4056.00,"F",,"U",
4057.00,"M",,"U",
4058.00,"F",,"U",
4059.00,"M",,"U",
4060.00,"F",,"U",
4061.00,"M",,"U",
4062.00,"F",,"U",
4063.00,"M",,"U",
4064.00,"F",,"U",
4065.00,"F",,"U",
4066.00,"M",,"U",
4067.00,"M",,"U",
4068.00,"F",,"U",
4069.00,"F",,"U",
4070.00,"M",,"U",
4071.00,"F",,"U",
4072.00,"M",,"U",
4073.00,"M",,"U",
4074.00,"M",,"U",
4075.00,"M",,"U",
4076.00,"M",,"U",
4077.00,"M",,"U",
4078.00,"M",,"U",
4079.00,"M",,"U",
4080.00,"F",,"U",
4081.00,"F",,"U",
4082.00,"M",,"U",
4083.00,"F",,"U",
4084.00,"M",,"U",
4085.00,"F",,"U",
4086.00,"M",,"U",
4087.00,"F",,"U",
4088.00,"M",,"U",
4089.00,"F",,"U",
4090.00,"F",,"U",
4091.00,"M",,"U",
4092.00,"F",,"U",
4093.00,"F",,"U",
4094.00,"M",,"U",
4095.00,"F",,"U",
4096.00,"F",,"U",
4097.00,"F",,"U",
4098.00,"F",,"U",
4099.00,"M",,"U",
4100.00,"M",,"U",
3182.00,"F",,"U",
3136.00,"F",,"U",
4052.00,"F",,"U",
3629.00,"F",,"U",
3154.00,"M",,"U",
3221.00,"F",,"U",
3572.00,"M",,"U",
3663.00,"M",,"U",
4101.00,"M",,"U",
4102.00,"M",,"U",
