,WHISKERS_TAKEN_FLAG,WEIGHT,VOMIT_TAKEN_FLAG,UNIDENTIFIABLE_FLAG,TEMP_PLACE,LOCATION_ID,TEMP_AGE_CLASS,TEETH_ID,TDR_ATTACHED_FLAG,STANDARD_LENGTH,SIGHTING_ID,SEX_ON_SIGHTING,SEAL_TAGS_ON_ANIMAL,SEAL_ID,RIGHT_BRAND_READABILITY,RIGHT_BRAND,PUP_ID,NON_MACCA_FLAG,MOULT_ID,MODIFIED_BY,LONGITUDE,LEFT_BRAND_READABILITY,LEFT_BRAND,LATITUDE,IS_SUSPECT,HAREM_POSITION,GIRTH,GAZ_NAME,GAZ_ID,FLIPPER_LENGTH,FLIPPER_BREADTH,ENTERED_BY,DATE_OBSERVED,,DATE_MODIFIED,DATE_ENTERED,COW_SIZE,COW_ID,COMMENTS,BODY_WATER,BLOOD_SAMPLE_TAKEN_FLAG,BIOPSY_TAKEN_FLAG,BACK_FAT,SEAL_STATUS_ID,AGE_CLASS_ID
1,N,NA,N,NA,MI,RE,3,NA,N,NA,181866,F,NA,26605,NA,NA,NA,NA,99,JOHN_VAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLIVE_MCM,03-Nov-99,99s,3/12/04 0:00,11/3/99 0:00,M,8336,NA,NA,N,N,NA,NA,3
2,N,93,N,NA,MI,BP,2,NA,N,126,181867,F,NA,26605,NA,NA,NA,NA,99,CLIVE_MCM,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,MARTIN_BIU,12-Nov-99,99s,12/10/99 0:00,12/2/99 0:00,NA,NA,NA,NA,N,N,4400,NA,2
3,N,70,N,NA,MI,RB,4,NA,N,122,181868,F,2,26605,R,NA,NA,NA,5,CLIVE_MCM,NA,R,NA,NA,NA,NA,112,NA,NA,NA,NA,CLIVE_MCM,20-Dec-99,99s,6/14/2000 0:00:00,6/14/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,4
4,N,120,N,NA,MI,17,10,NA,N,149,181869,F,2,26605,U,NA,NA,NA,99,CLIVE_MCM,NA,U,NA,NA,NA,NA,131,NA,NA,NA,NA,CLIVE_MCM,10-Jun-00,00w,6/14/2000 0:00:00,6/14/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,10
5,N,NA,N,NA,MI,17,10,NA,N,NA,181870,U,2,26605,R,NA,NA,NA,99,CLIVE_MCM,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLIVE_MCM,11-Jun-00,00w,6/14/2000 0:00:00,6/14/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,10
6,N,NA,N,NA,MI,17,10,NA,N,NA,181871,U,U,26605,NA,NA,NA,NA,99,JULIAN_HAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JULIAN_HAR,17-Jun-00,00w,6/18/2000 0:00:00,6/18/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,10
7,N,NA,N,NA,MI,17,10,NA,N,NA,181872,U,U,26605,R,NA,NA,NA,99,JULIAN_HAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JULIAN_HAR,23-Jun-00,00w,7/2/00 0:00,7/2/00 0:00,NA,NA,NA,NA,N,N,NA,NA,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,N,127,N,NA,MI,HC,3,NA,N,NA,192000,F,2,28775,NA,NA,NA,NA,99,JULIAN_HAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JULIAN_HAR,02-Nov-00,00-01s,11/2/00 0:00,11/2/00 0:00,NA,3807,NA,NA,N,N,NA,NA,3
9,N,144,N,NA,MI,HC,2,NA,N,145,192001,F,2,28775,NA,NA,NA,NA,99,IAIN_FIE,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,IAIN_FIE,09-Nov-00,00-01s,11/9/00 0:00,11/9/00 0:00,NA,NA,NA,NA,N,N,NA,NA,2
10,N,137,N,NA,MI,RW,4,NA,N,146,192002,F,U,28775,NA,NA,NA,NA,99,KATHRY_WHE,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,KATHRY_WHE,20-Nov-00,00-01s,11/20/2000 0:00:00,11/20/2000 0:00:00,NA,NA,NA,NA,N,N,3700,NA,4
11,N,115,N,NA,MI,RE,4,NA,N,136,192003,F,2,28775,NA,NA,NA,NA,99,MARTIN_BIU,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,MARTIN_BIU,10-Dec-00,00-01s,12/10/00 0:00,12/10/00 0:00,NA,NA,NA,NA,N,N,NA,NA,4
12,N,104,N,NA,MI,RE,4,NA,N,136,192004,F,2,28775,NA,NA,NA,NA,99,MARTIN_BIU,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,MARTIN_BIU,19-Dec-00,00-01s,12/19/2000 0:00:00,12/19/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,4
13,N,95,N,NA,MI,GC,4,NA,Y,135,192005,F,2,28775,NA,NA,NA,NA,99,IAIN_FIE,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,IAIN_FIE,29-Dec-00,00-01s,12/29/2000 0:00:00,12/29/2000 0:00:00,NA,NA,NA,NA,N,N,2900,NA,4
19,N,NA,N,NA,MI,14,20,NA,N,NA,223853,U,U,28775,NA,NA,NA,NA,1,MATHEW_WEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MATHEW_WEB,15-Jan-02,01-02s,3/11/02 0:00,3/11/02 0:00,NA,NA,NA,NA,N,N,NA,NA,20
18,N,NA,N,NA,MI,13,20,NA,N,NA,221128,U,U,28775,NA,NA,NA,NA,3,COREY_BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COREY_BRA,18-Jan-02,01-02s,1/19/2002 0:00:00,1/19/2002 0:00:00,NA,NA,NA,NA,N,N,NA,NA,20
17,N,NA,N,NA,MI,14,20,NA,N,NA,222044,U,U,28775,NA,NA,NA,NA,3,COREY_BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COREY_BRA,23-Jan-02,01-02s,1/28/2002 0:00:00,1/28/2002 0:00:00,NA,NA,NA,NA,N,N,NA,NA,20
16,N,NA,N,NA,MI,48,20,NA,N,NA,231329,U,U,28775,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEREK_HAM,19-Jun-02,02w,NA,8/4/02 0:00,NA,NA,NA,NA,N,N,NA,9,20
15,N,NA,N,NA,NA,5,30,NA,N,NA,234180,U,NA,28775,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clive_McM,03-Jan-03,02-03s,NA,5/20/2003 0:00:00,NA,NA,NA,NA,N,N,NA,NA,30
14,N,NA,N,NA,NA,BP,30,NA,N,NA,234970,U,NA,28775,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clive_McM,20-Jan-03,02-03s,NA,5/20/2003 0:00:00,NA,NA,NA,NA,N,N,NA,NA,30
20,N,NA,N,NA,MI,12,30,NA,N,NA,242516,U,2,28775,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MICHEL_THU,22-Dec-03,03-04s,NA,12/27/2003 0:00:00,NA,NA,NA,NA,N,N,NA,8,30
21,N,NA,N,NA,MI,GG,30,NA,N,NA,251458,U,2,28775,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,MICHEL_THU,21-Sep-04,04-05s,NA,9/21/2004 0:00:00,NA,NA,Male trying to copulate with her.,NA,N,N,NA,99,30
23,N,NA,N,NA,MI,FG,40,NA,N,NA,254918,F,U,28775,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,CLAIR_HOL,22-Sep-04,04-05s,NA,4/11/05 0:00,NA,NA,NA,NA,N,N,NA,7,40
22,N,NA,N,NA,MI,GG,40,NA,N,NA,251546,F,2,28775,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,MICHEL_THU,23-Sep-04,04-05s,NA,9/23/2004 0:00:00,NA,NA,NA,NA,N,N,NA,7,40
24,N,NA,N,NA,NA,6,NA,NA,N,NA,264254,F,U,28775,NA,NA,NA,N,99,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,HARRY_BUR,14-Oct-05,05-06s,NA,10/9/06 0:00,NA,NA,NA,NA,N,N,NA,2,40
25,N,NA,N,NA,NA,BPN,NA,NA,N,NA,271743,F,NA,28775,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,james_dou,11-Jun-06,06w,NA,12/5/06 0:00,NA,NA,NA,NA,N,N,NA,2,40
26,N,NA,N,NA,NA,BPN,NA,NA,N,NA,271832,F,NA,28775,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,james_dou,06-Nov-06,06-07s,NA,12/5/06 0:00,NA,NA,NA,NA,N,N,NA,2,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,N,NA,N,NA,MI,BP,3,NA,N,NA,192025,F,1,28783,NA,NA,NA,NA,99,JOHN_VAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAIN_FIE,02-Nov-00,00-01s,5/11/04 0:00,11/2/00 0:00,NA,4701,NA,NA,N,N,NA,NA,3
28,N,97,N,NA,MI,BP,3,NA,N,NA,192026,F,1,28783,NA,NA,NA,NA,99,IAIN_FIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COREY_BRA,12-Nov-00,00-01s,11/16/2000 0:00:00,11/12/00 0:00,NA,NA,NA,NA,N,N,NA,NA,3
29,N,99,N,NA,MI,BP,2,NA,N,124,192028,F,2,28783,NA,NA,NA,NA,99,JOHN_VAN,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,IAIN_FIE,15-Nov-00,00-01s,5/5/04 0:00,11/16/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,2
30,N,86,N,NA,MI,TR,4,NA,N,123,192029,F,2,28783,NA,NA,NA,NA,99,KATHRY_WHE,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,KATHRY_WHE,25-Nov-00,00-01s,11/26/2000 0:00:00,11/26/2000 0:00:00,NA,NA,NA,NA,N,N,3900,NA,4
31,N,73,N,NA,MI,GG,4,NA,N,120,192030,F,2,28783,NA,NA,NA,NA,99,MARTIN_BIU,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,MARTIN_BIU,20-Dec-00,00-01s,12/22/2000 0:00:00,12/22/2000 0:00:00,NA,NA,NA,NA,N,N,NA,NA,4
32,N,68,N,NA,MI,BP,4,NA,N,123,192031,F,2,28783,NA,NA,NA,NA,99,KATHRY_WHE,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,KATHRY_WHE,26-Dec-00,00-01s,12/26/2000 0:00:00,12/26/2000 0:00:00,NA,NA,NA,NA,N,N,3400,NA,4
33,N,NA,N,NA,MI,3,NA,NA,N,NA,192032,U,NA,28783,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROBB_CLI,25-May-01,01w,NA,10/1/01 0:00,NA,NA,NA,NA,N,N,NA,NA,NA
34,N,NA,N,NA,MI,9,NA,NA,N,NA,192033,U,U,28783,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARTIN_SCH,19-Sep-01,01-02s,NA,10/1/01 0:00,NA,NA,Digital photos taken,NA,N,N,NA,NA,NA
