ptt,ageclass,brand,tag1,tag2,class,sex,birthdate,birthloc,birthmass,mumsize,weandate,weanmass,teeth,lactationdays,deploydate,deployloc,deploymass,stl,d6,d5,d4,d3,d2,d1,g6,g5,g4,g3,g2,g1
17213,J,627,9173,9174,LM,M,5-Oct-95,CN,34,S,23-Oct-95,86,0,18,28-Nov-95,BP,67,1.31,18,26,28,28,36,22,0.58,0.78,1,1.02,88,68
17216,J,336,9240,9241,LM,M,6-Oct-95,BP,30,S,2-Nov-95,85,0,27,27-Nov-95,BP,70,1.25,22,28,30,30,28,20,0.69,0.93,1.06,1.12,1.1,0.8
20918,J,503,8203,,LM,M,24-Sep-95,RE,29,SM,17-Oct-95,92,0,23,29-Nov-95,RW,66,1.32,20,32,30,28,26,18,0.61,0.82,1.01,1.06,0.97,0.7
22483,J,806,9538,9539,LM,M,9-Oct-95,HC,36,SM,30-Oct-95,84,0,21,29-Nov-95,RW,64,1.26,18,22,26,28,28,22,0.62,0.87,1,1.06,0.97,0.71
22484,J,557,8874,8875,LM,M,1-Oct-95,CS,41,MS,22-Oct-95,90,0,21,29-Nov-95,RW,65,1.3,20,22,28,30,28,22,0.62,0.86,1.05,1.05,0.94,0.73
22485,J,575,8696,8697,LM,M,29-Sep-95,MG,34,S,25-Oct-95,88,0,26,30-Nov-95,MG,65,1.34,22,22,22,24,24,18,0.51,0.79,0.99,1.03,0.88,0.72
22490,J,429,8927,8928,LM,M,2-Oct-95,BP,31,SM,28-Oct-95,93,0,26,28-Nov-95,BP,72,1.34,24,28,34,30,34,18,0.56,0.81,0.94,1.02,1.01,0.68
22499,J,415,9711,9712,LM,M,12-Oct-95,BP,41,ML,7-Nov-95,84,0,26,5-Dec-95,RW,67,1.31,18,26,28,30,30,18,0.62,0.9,0.95,0.92,0.88,0.68
26627,J,91,8607,,LM,M,28-Sep-95,LB,35,SM,22-Oct-95,88,0,24,29-Nov-95,MG,62,1.22,18,18,20,26,32,20,0.54,0.8,0.99,1.05,0.83,0.71
26628,J,483,9230,9231,LM,M,6-Oct-95,RE,34,S,23-Oct-95,88,0,17,29-Nov-95,RW,62,1.24,20,22,24,22,20,18,0.6,0.88,1.05,1.05,0.93,0.7
2849,J,373,9788,,LF,F,13-Oct-95,TR,50,LM,8-Nov-95,92,3,26,1-Dec-95,BP,73,1.4,16,18,22,22,24,18,0.6,0.86,1,1.08,0.87,0.69
17217,J,226,9346,9347,LF,F,8-Oct-95,LB,36,SM,3-Nov-95,78,14,26,1-Dec-95,LB,62,1.3,14,20,22,22,24,14,0.57,0.8,1,1.02,0.84,0.68
