Brand	Tag 1	Tag 2
P001	5525	5526
P003	5332	5333
P005	5249	5250
P010	5277	5278
P019	5225	5226
P025	5281	5282
P069	5723	5724
P073	5185	5186
P082	5318	5319
P087	5314	5315
P089	5390	5391
P095	5388	5389
P102	5394	5395
P105	5195	5196
P108	5324	5325
P109	5499	5500
P175	5599	5600
P290	5111	5112
P376	5257	5258
P388	5487	5488
P539	5515	
P584	5817	5818
P586	7101	7102
P593	7025	7026
P600	5565	5566
P623	7203	7204
P625	5547	5548
P626	7099	7100
P631	5251	5252
P681	6310	6311
P735	7169	7170
P736	5508	
P737	7010	
P744	7007	7008
P800	6765	6766
P801	7179	7180
P802	7015	7016
P803	7043	7044
P804	6945	6946
P805	6402	6403
P806	6592	6593
P807	6947	6948
P808	6815	6816
P809	6586	6587
P810	6598	6599
P811	6941	6942
P812	6977	6978
P813	6943	6944
P814	6855	6856
P815	6925	6926
P816	6755	6756
P817	7117	7118
P818	5103	5104
P819	6889	6890
P820	7141	7142
P821	7023	7024
P822	6590	6591
P823	6777	6778
P824	7153	7154
P825	6418	6419
P826	7056	7057
P827	6865	6866
P828	6614	6615
P829	6994	6995
P830	6979	6980
P831	6988	6989
P832	6875	6876
P833	7035	7036
P834	7058	7059
P835	7033	7034
P836	7107	7108
P837	7031	7032
P838	6937	6938
P839	6985	6986
P840	6025	6026
P841	6839	6840
P842	6775	6776
P843	6743	6744
P844	7013	7014
P845	7039	7040
P846	6881	6882
P847	6967	6968
P848	6805	6806
P849	7049	7050
P850	6901	6902
P851	6905	6906
P852	7155	7156
P853	6899	6900
P854	6444	6445
P855	7037	7038
P856	6847	6848
P857	6893	6894
P858	7060	7061
P859	6749	6750
P860	6869	6870
P861	7139	7140
P862	6999	7000
P863	6803	6804
P864	7103	7104
P865	6935	6936
P866	6819	6820
P867	6885	6886
P868	6975	6976
P869	7115	7116
P870	6767	6768
P871	5107	5108
P872	6933	6934
P873	6735	6736
P874	6809	6810
P875	6957	6958
P876	6883	6884
P877	5975	5976
P878	7093	7094
P879	6733	6734
P880	7119	7120
P881	6867	6868
P882	6136	6137
P883	7001	7002
P884	7066	7067
P885	7028	
P886	6426	6427
P887	6990	6991
P888	7062	7063
P899	5831	5832
P910	5469	5470
	6571	
	6763	6764
	6801	6802
	6909	6910
T851	O7317	O7318
T861	O7343	O7344
	O7397	O7398
T841	O7353	O7354
	O7377	O7378
T802	O7421	O7422
T848	O7441	O7442
	O7475	O7476
T856	O7637	O7638
T862	O7543	O7544
T897	O7417	O7418
T865	O7527	O7528
T871	O7525	O7526
T801	O7631	O7632
	O7447	O7448
T827	O7589	O7590
T813	O7435	O7436
T826	O7804	O7805
	O7814	O7815
T8740	O7975	
T835	O7872	O7873
T824	O7551	O7552
T803	O7964	
T810	O7613	O7614
T806	O8417	O8418
T811	O8409	O8410
T828	O8443	O8444
T874	O8550	O8551
T842	O7914	O7915
T785	O8880	O8881
T232	O7877	O7878
T868	O7659	O7660
T873	O8453	O8454
T899	O8530	O8531
T809	O7798	O7799
T821	O8552	O8553
T818	O7970	
	O7939	
T850	O7994	O7995
T808	O9085	O9086
T805	O9245	O9246
T849	O7918	O7919
T816	O8884	O8885
T879	O8451	O8452
T836	O8353	O8354
T857	O7976	
T819	O9404	O9405
T876	O9047	O9048
T868	O7659	O7660
T839	O8496	O8497
T864	O8437	O8438
T881	O8775	O8776
T847	O7864	O7865
T860	O9637	O9638
T878	O8909	O8910
T815	O8878	O8879
	O8781	O8782
T844	O7953	
T872	O7880	O7881
T854	O7461	O7462
T867	O9069	O9070
T846	O8627	O8628
T825	O9490	O9491
T823	O8862	O8863
T807	O9273	O9274
T837	O9436	O9437
T855	O9013	O9014
T883	O8691	O8692
T845	O9430	O9431
T877	O9027	O9028
T875	O9157	O9158
T831	O9647	O9648
T840	O9611	O9612
T870	O9458	O9459
T817	O8856	O8857
T814	O9376	O9377
T834	O9201	O9202
T863	O8540	O8541
T875	O9157	O9158
T852	O9691	O9692
T880	O9689	O9690
T832	O9145	O9146
T853	O9165	O9166
T838	O9667	O9668
T843	O8779	O8780
T833	O8747	O8748
T829	O9773	O9774
T830	O9771	O9772
T858	O9400	O9401
T866	O9697	O9698
T340	O9693	O9694
T812	O9653	O9654
T859	O9759	O9760
T888	O9748	O9749
T894	O9823	O9824
T891	O9719	O9720
T928	O9763	O9764
T892	O9753	O9754
T890	O9767	O9768
T896	O9785	O9786
T773	O9685	O9686
T772	O9761	O9762
T822	O7910	O7911
T618	O9588	O9589
T619	O9211	O9212
T887	O9711	O9712
T804	O9558	O9559
T739	O7996	O7997
T709	O9751	O9752
T786	O9661	O9662
T538	O9259	O9260
T903	O7549	O7550
T233	O9045	O9046
T719	O7653	O7654
T088	O9633	O9634
T898	O9817	O9818
T893	O9811	O9812
T882	O9815	O9816
T895	O9705	O9706
T869	O9805	O9806
T889	O9765	O9766
	W2057	W2058
	W2017	W2018
	W2029	W2030
	W2073	W2074
	W2103	W2104
	W2169	W2170
	W2300	W2301
	W2286	W2287
	W2063	W2064
	W2091	W2092
	W2191	W2192
	W2085	W2086
	W2165	W2166
	W2193	W2194
	W2308	W2309
	W2503	W2504
	W2646	W2647
	W2832	W2833
	W2270	W2271
	W2376	W2377
	W2539	W2540
	W2668	W2669
	W2778	W2779
	W3201	W3202
	W2692	W2693
	W2666	W2667
	W2752	W2753
	W2988	W2989
	W2890	W2891
	W2964	W2965
	W2926	W2927
	W2706	W2707
	W2410	W2411
	W3235	W3236
	W2618	W2619
	W2640	W2641
	W3231	W3232
	W2942	W2943
	W2471	W2472
	W3199	W3200
	W2360	W2361
	W2652	W2653
	W3055	W3056
	W2748	W2749
	W2171	W2172
	W2882	W2883
	W2944	W2945
