"","ref","ptt","deployment.start","deployment.end","deployment.dur","left.colony","combFit","augFit","augFit_pf0.3","year_ptt","year","brand","tag1","tag2","SEAL_ID","SEAL_TAG_TYPE"
"1","mq1-17213-95","17213",1995-11-28 06:10:16,1995-11-28 12:42:04,0.3,0,-,-,-,"1995_17213",-,-,-,-,-,-
"2","mq1-17216-95","17216",1995-11-27 04:42:17,1995-12-09 10:47:29,12.3,0,-,-,-,"1995_17216",-,-,-,-,-,-
"3","mq1-17221-95","17221",1995-12-05 04:54:09,1995-12-17 02:43:56,11.9,0,-,-,-,"1995_17221",-,-,-,-,-,-
"4","mq1-20915-95","20915",1995-12-05 03:18:12,1995-12-14 13:10:26,9.4,0,-,-,-,"1995_20915",-,-,-,-,-,-
"5","mq1-20917-95","20917",1995-12-01 05:35:43,1995-12-10 13:50:17,9.3,0,-,-,-,"1995_20917",-,-,-,-,-,-
"6","mq1-22482-95","22482",1995-12-05 06:32:11,1995-12-17 04:26:38,11.9,0,-,-,-,"1995_22482",-,-,-,-,-,-
"7","mq1-22485-95","22485",1995-11-30 02:25:32,1995-12-02 05:24:29,2.1,0,-,-,-,"1995_22485",-,-,-,-,-,-
"8","mq1-22487-95","22487",1995-11-30 04:07:27,1995-12-16 08:18:06,16.2,0,-,-,-,"1995_22487",-,-,-,-,-,-
"9","mq1-22488-95","22488",1995-11-28 02:49:37,1995-11-28 04:29:43,0.1,0,-,-,-,"1995_22488",-,-,-,-,-,-
"10","mq1-22497-95","22497",1995-12-03 01:51:26,1995-12-16 08:15:49,13.3,0,-,-,-,"1995_22497",-,-,-,-,-,-
"11","mq1-26624-95","26624",1995-12-03 03:34:14,1995-12-15 11:21:32,12.3,0,-,-,-,"1995_26624",-,-,-,-,-,-
"12","mq1-26626-95","26626",1995-11-27 06:18:14,1995-12-04 03:28:26,6.9,0,-,-,-,"1995_26626",-,-,-,-,-,-
"13","mq1-26631-95","26631",1995-12-01 05:38:11,1995-12-15 11:21:39,14.2,0,-,-,-,"1995_26631",-,-,-,-,-,-
"14","mq1-26632-95","26632",1995-12-04 01:46:19,1995-12-09 12:29:45,5.4,0,-,-,-,"1995_26632",-,-,-,-,-,-
"15","mq1-2846-95","2846",1995-11-30 05:48:15,1995-12-12 09:47:55,12.2,0,-,-,-,"1995_2846",-,-,-,-,-,-
"16","mq1-5810-95","5810",1995-11-30 07:26:40,1995-12-10 20:17:04,10.5,0,-,-,-,"1995_5810",-,-,-,-,-,-
"17","mq1-5815-95","5815",1995-12-04 03:25:42,1995-12-14 09:04:04,10.2,0,-,-,-,"1995_5815",-,-,-,-,-,-
"18","mq1-5816-95","5816",1995-11-30 02:25:54,1995-12-09 12:22:30,9.4,0,-,-,-,"1995_5816",-,-,-,-,-,-
"19","mq2-22486-96","22486",1996-12-01 06:23:20,1996-12-15 05:26:45,14,0,-,-,-,"1996_22486",-,-,-,-,-,-
"20","mq2-22488-96","22488",1996-12-04 04:09:58,1996-12-06 20:20:33,2.7,0,-,-,-,"1996_22488",-,-,-,-,-,-
"21","mq2-22497-96","22497",1996-12-01 03:02:00,1996-12-02 14:25:50,1.5,0,-,-,-,"1996_22497",-,-,-,-,-,-
"22","mq2-22499-96","22499",1996-12-03 02:41:24,1996-12-10 09:03:59,7.3,0,-,-,-,"1996_22499",-,-,-,-,-,-
"23","mq2-28479-96","28479",1996-12-03 02:39:05,1996-12-12 08:18:09,9.2,0,-,-,-,"1996_28479",1996,"K875","2359","2360",10450,"B"
