id,startdate,enddate,dur
mq1-17215-95,1995-12-04T05:00:00Z,1995-12-30T09:00:00Z,26.2
mq1-17217-95,1995-12-01T07:00:00Z,1996-04-11T07:00:00Z,132
mq1-17219-95,1995-12-03T05:00:00Z,1996-01-08T13:00:00Z,36.3
mq1-20916-95,1995-12-01T07:00:00Z,1995-12-29T03:00:00Z,27.8
mq1-20918-95,1995-11-29T04:00:00Z,1996-04-28T16:00:00Z,152
mq1-22483-95,1995-11-29T02:00:00Z,1996-04-04T10:00:00Z,127
mq1-22484-95,1995-11-29T02:00:00Z,1995-12-21T06:00:00Z,22.2
mq1-22486-95,1995-11-28T02:00:00Z,1996-03-26T14:00:00Z,120
mq1-22490-95,1995-11-28T08:00:00Z,1996-04-28T20:00:00Z,152
mq1-22499-95,1995-12-05T03:00:00Z,1996-06-02T15:00:00Z,180
mq1-22500-95,1995-11-27T02:00:00Z,1996-05-03T06:00:00Z,158
mq1-22501-95,1995-12-04T09:00:00Z,1996-01-19T05:00:00Z,45.8
mq1-26625-95,1995-11-28T06:00:00Z,1996-03-22T22:00:00Z,116
mq1-26627-95,1995-11-29T06:00:00Z,1996-02-11T06:00:00Z,74
mq1-26628-95,1995-11-29T05:00:00Z,1996-04-05T17:00:00Z,128
mq1-26629-95,1995-12-01T03:00:00Z,1995-12-23T19:00:00Z,22.7
mq1-26633-95,1995-11-28T02:00:00Z,1995-12-19T18:00:00Z,21.7
mq1-26635-95,1995-11-28T04:00:00Z,1996-05-14T12:00:00Z,168
mq1-2849-95,1995-12-01T05:00:00Z,1996-04-16T17:00:00Z,138
mq1-5811-95,1995-12-04T05:00:00Z,1996-01-29T09:00:00Z,56.2
mq1-5814-95,1995-12-03T05:00:00Z,1996-05-04T09:00:00Z,153
mq2-20916-96,1996-12-01T03:00:00Z,1996-12-12T03:00:00Z,11
mq2-20917-96,1996-12-03T06:00:00Z,1996-12-22T14:00:00Z,19.3
mq2-22483-96,1996-12-03T08:00:00Z,1997-01-31T08:00:00Z,59
mq2-22490-96,1996-12-04T04:00:00Z,1997-01-05T00:00:00Z,31.8
mq2-22500-96,1996-12-03T04:00:00Z,1996-12-24T08:00:00Z,21.2
mq2-26623-96,1996-12-03T06:00:00Z,1997-06-11T06:00:00Z,190
mq2-26624-96,1996-12-04T04:00:00Z,1997-04-27T16:00:00Z,144
mq2-28482-96,1996-12-04T04:00:00Z,1997-02-02T20:00:00Z,60.7
mq3-17217-99,1999-12-27T05:00:00Z,2000-06-28T01:00:00Z,184
mq3-20918-99,1999-12-01T16:00:00Z,2000-05-25T00:00:00Z,175
mq3-22484-99,1999-12-17T05:00:00Z,2000-05-21T13:00:00Z,156
mq3-22488-99,1999-11-23T09:00:00Z,2000-08-16T01:00:00Z,267
mq3-22498-99,1999-11-19T09:00:00Z,2000-01-18T09:00:00Z,60
mq3-26627-99,1999-12-03T04:00:00Z,2000-06-12T04:00:00Z,192
mq3-26629-99,1999-12-03T04:00:00Z,2000-04-09T00:00:00Z,128
mq3-26635-99,2000-02-09T03:00:00Z,2000-05-09T15:00:00Z,90.5
mq3-2841-99,2000-02-09T03:00:00Z,2000-05-25T23:00:00Z,107
mq3-2845-99,2000-02-09T03:00:00Z,2001-02-10T07:00:00Z,367
mq3-2846-99,1999-12-16T22:00:00Z,2000-06-23T14:00:00Z,190
mq3-2849-99,1999-12-27T05:00:00Z,2000-06-27T17:00:00Z,184
mq3-28494-99,1999-12-13T04:00:00Z,2000-02-16T12:00:00Z,65.3
mq3-28496-99,1999-12-22T10:00:00Z,2000-12-02T02:00:00Z,346
mq3-28497-99,1999-12-03T07:00:00Z,2000-09-12T23:00:00Z,285
mq3-28500-99,1999-12-04T04:00:00Z,1999-12-26T12:00:00Z,22.3
mq3-28504-99,1999-12-27T06:00:00Z,2001-01-19T18:00:00Z,390
mq3-5812-99,1999-12-22T06:00:00Z,2000-08-28T22:00:00Z,251
mq4-20918-00,2000-11-30T14:00:00Z,2001-10-02T22:00:00Z,306
mq4-Alice-00,2000-12-24T06:00:00Z,2002-01-05T18:00:00Z,378
mq4-Billie-00,2000-12-09T04:00:00Z,2001-08-29T20:00:00Z,264
mq4-Cleo-00,2000-12-08T11:00:00Z,2001-08-18T15:00:00Z,253
mq4-Doris-00,2000-12-29T04:00:00Z,2001-10-03T20:00:00Z,279
mq4-Ella-00,2000-12-24T03:00:00Z,2001-04-12T23:00:00Z,110
mq4-FirstOne-00,2000-11-23T09:00:00Z,2001-04-30T17:00:00Z,158
mq4-Flora-00,2000-12-24T03:00:00Z,2001-06-26T19:00:00Z,185
